chunk_index,token_density,heading_depth,neighbor_overlap,source_file,page
497,500,0,0.3832752613240418,unknown,-1
498,564,0,0.3282208588957055,unknown,-1
499,611,0,0.34023668639053256,unknown,-1
500,566,0,0.2543859649122807,unknown,-1
501,656,0,0.2993827160493827,unknown,-1
502,780,0,0.25252525252525254,unknown,-1
503,622,0,0.23248407643312102,unknown,-1
504,635,0,0.19142857142857142,unknown,-1
505,495,0,0.19795221843003413,unknown,-1
506,417,0,0.34099616858237547,unknown,-1
507,589,0,0.1986062717770035,unknown,-1
508,576,0,0.17266187050359713,unknown,-1
509,606,0,0.410958904109589,unknown,-1
510,724,0,0.1650485436893204,unknown,-1
511,556,0,0.2549019607843137,unknown,-1
512,424,0,0.4423791821561338,unknown,-1
513,519,0,0.24581005586592178,unknown,-1
514,535,0,0.19327731092436976,unknown,-1
515,560,0,0.24161073825503357,unknown,-1
516,491,0,0.27208480565371024,unknown,-1
517,459,0,0.31443298969072164,unknown,-1
518,94,0,0.18811881188118812,unknown,-1
519,461,0,0.36666666666666664,unknown,-1
520,413,0,0.32,unknown,-1
521,383,0,0.28193832599118945,unknown,-1
522,352,0,0.2823529411764706,unknown,-1
523,371,0,0.28076923076923077,unknown,-1
524,414,0,0.5412371134020618,unknown,-1
525,416,0,0.49214659685863876,unknown,-1
526,394,0,0.40454545454545454,unknown,-1
527,409,0,0.4155844155844156,unknown,-1
528,374,0,0.2713178294573643,unknown,-1
529,445,0,0.3452914798206278,unknown,-1
530,373,0,0.33663366336633666,unknown,-1
531,391,0,0.3798076923076923,unknown,-1
532,415,0,0.3472222222222222,unknown,-1
533,349,0,0.3125,unknown,-1
534,245,0,0.11711711711711711,unknown,-1
535,365,0,0.25339366515837103,unknown,-1
536,445,0,0.34183673469387754,unknown,-1
537,383,0,0.28402366863905326,unknown,-1
538,174,0,0.11494252873563218,unknown,-1
539,636,0,0.25914634146341464,unknown,-1
540,588,0,0.2408026755852843,unknown,-1
541,565,0,0.2757475083056478,unknown,-1
542,610,0,0.23076923076923078,unknown,-1
543,550,0,0.24079320113314448,unknown,-1
544,569,0,0.24611398963730569,unknown,-1
545,708,0,0.2602739726027397,unknown,-1
546,565,0,0.25,unknown,-1
547,521,0,0.19795221843003413,unknown,-1
548,414,0,0.1834319526627219,unknown,-1
549,632,0,0.2440944881889764,unknown,-1
550,598,0,0.31230283911671924,unknown,-1
551,659,0,0.22611464968152867,unknown,-1
552,575,0,0.30067567567567566,unknown,-1
553,563,0,0.23728813559322035,unknown,-1
554,659,0,0.41823899371069184,unknown,-1
555,646,0,0.27146814404432135,unknown,-1
556,674,0,0.2849740932642487,unknown,-1
557,670,0,0.21468926553672316,unknown,-1
558,474,0,0.264,unknown,-1
559,298,0,0.125,unknown,-1
560,481,0,0.26644736842105265,unknown,-1
561,492,0,0.2459016393442623,unknown,-1
562,533,0,0.2824675324675325,unknown,-1
563,619,0,0.2616822429906542,unknown,-1
564,482,0,0.20303030303030303,unknown,-1
565,584,0,0.2560553633217993,unknown,-1
566,501,0,0.2867383512544803,unknown,-1
567,543,0,0.2533783783783784,unknown,-1
568,502,0,0.2641509433962264,unknown,-1
569,521,0,0.12052117263843648,unknown,-1
570,233,0,0.25280898876404495,unknown,-1
571,271,0,0.26011560693641617,unknown,-1
572,254,0,0.19215686274509805,unknown,-1
573,505,0,0.2042042042042042,unknown,-1
574,583,0,0.2613981762917933,unknown,-1
575,518,0,0.2049469964664311,unknown,-1
576,304,0,0.26627218934911245,unknown,-1
577,222,0,0.16317991631799164,unknown,-1
578,489,0,0.2791411042944785,unknown,-1
579,712,0,0.16722408026755853,unknown,-1
580,362,0,0.1858108108108108,unknown,-1
581,784,0,0.21818181818181817,unknown,-1
582,412,0,0.23282442748091603,unknown,-1
583,288,0,0.3305785123966942,unknown,-1
584,438,0,0.45652173913043476,unknown,-1
585,329,0,0.38461538461538464,unknown,-1
586,355,0,0.5,unknown,-1
587,277,0,0.22641509433962265,unknown,-1
588,225,0,0.17117117117117117,unknown,-1
589,265,0,0.24644549763033174,unknown,-1
590,239,0,0.32786885245901637,unknown,-1
591,252,0,0.3597560975609756,unknown,-1
592,272,0,0.24242424242424243,unknown,-1
593,260,0,0.5348837209302325,unknown,-1
594,259,0,0.37254901960784315,unknown,-1
595,239,0,0.3050847457627119,unknown,-1
596,257,0,0.34868421052631576,unknown,-1
597,311,0,0.2857142857142857,unknown,-1
598,262,0,0.26582278481012656,unknown,-1
599,220,0,0.45751633986928103,unknown,-1
600,231,0,0.2689655172413793,unknown,-1
601,189,0,0.47368421052631576,unknown,-1
602,186,0,0.21052631578947367,unknown,-1
603,340,0,0.2892561983471074,unknown,-1
604,346,0,0.3090909090909091,unknown,-1
605,303,0,0.11594202898550725,unknown,-1
606,710,0,0.16901408450704225,unknown,-1
607,190,0,0.15566037735849056,unknown,-1
608,298,0,0.23574144486692014,unknown,-1
609,428,0,0.6825396825396826,unknown,-1
610,355,0,0.14754098360655737,unknown,-1
611,515,0,0.22392638036809817,unknown,-1
612,690,0,0.2,unknown,-1
613,589,0,0.06845965770171149,unknown,-1
614,1074,0,0.14334470989761092,unknown,-1
615,476,0,0.3165137614678899,unknown,-1
616,722,0,0.12624584717607973,unknown,-1
617,623,0,0.12709030100334448,unknown,-1
618,263,0,0.20306513409961685,unknown,-1
619,369,0,0.28523489932885904,unknown,-1
620,485,0,0.2908496732026144,unknown,-1
621,489,0,0.25732899022801303,unknown,-1
622,497,0,0.3310104529616725,unknown,-1
623,505,0,0.23826714801444043,unknown,-1
624,384,0,0.2878228782287823,unknown,-1
625,512,0,0.25163398692810457,unknown,-1
626,426,0,0.2534246575342466,unknown,-1
627,416,0,0.2727272727272727,unknown,-1
628,583,0,0.23547400611620795,unknown,-1
629,552,0,0.2572347266881029,unknown,-1
630,559,0,0.2750809061488673,unknown,-1
631,600,0,0.14057507987220447,unknown,-1
632,431,0,0.21454545454545454,unknown,-1
633,481,0,0.1887905604719764,unknown,-1
